TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	05 23 56.928	43 25 45.697	0.39821855	0.0142	0	0	0	0.742	0.017	-1.852	0.014	207356214986676864
1	05 27 02.752	43 28 52.854	0.30206325	0.0144	0	0	0	0.508	0.017	-1.941	0.012	195722449952958464
1	05 22 17.962	43 22 39.590	0.22401671	0.0150	0	0	0	0.901	0.018	-0.531	0.013	207364667482470400
1	05 23 06.344	42 25 54.593	0.31771033	0.0140	0	0	0	0.603	0.017	-1.798	0.013	195255711566245248
1	05 27 36.737	42 26 29.561	0.32563219	0.0169	0	0	0	1.670	0.017	-0.568	0.013	195376348608036992
1	05 24 47.928	42 04 19.295	0.32773079	0.0147	0	0	0	1.156	0.017	-2.335	0.013	195036152837526656
1	05 23 37.441	43 35 44.294	0.22046252	0.0169	0	0	0	1.421	0.022	-1.142	0.018	207373669733724928
1	05 25 51.097	41 59 14.350	0.39550476	0.0157	0	0	0	2.041	0.018	-0.186	0.014	194985811521849088
1	05 23 29.998	42 12 51.024	0.31881364	0.0138	0	0	0	0.442	0.017	-1.345	0.012	195050240330287104
1	05 26 21.429	42 52 54.164	0.30006317	0.0138	0	0	0	0.962	0.017	-1.987	0.012	195632844054160256
1	05 24 17.868	42 26 03.665	0.38286199	0.0134	0	0	0	0.823	0.016	-0.725	0.012	195241314836366848
1	05 26 55.080	41 57 36.173	0.30960826	0.0139	0	0	0	0.320	0.016	-2.887	0.013	195346180758020992
1	05 29 56.152	43 07 48.588	0.26631600	0.0190	0	0	0	0.097	0.018	-3.457	0.013	195477091360148224
1	05 24 39.494	43 06 06.773	0.31113425	0.0140	0	0	0	1.461	0.016	-2.706	0.013	195325285736908672
1	05 21 43.362	42 45 59.026	0.29911775	0.0134	0	0	0	0.686	0.017	-1.993	0.013	195301646240348544
1	05 28 14.063	43 31 03.029	0.34655526	0.0158	0	0	0	0.613	0.019	-2.601	0.014	195732173758914560
1	05 25 56.517	43 27 12.390	0.34793405	0.0139	0	0	0	-0.593	0.018	-1.747	0.014	195719945990372864
1	05 23 51.966	42 12 16.697	0.24961570	0.0164	0	0	0	0.061	0.020	-0.398	0.014	195048208809724672
1	05 23 26.207	42 23 02.805	0.26184080	0.0138	0	0	0	0.296	0.018	-0.274	0.013	195243101542793216
1	05 21 42.499	42 39 03.261	0.22565941	0.0168	0	0	0	0.803	0.023	-1.245	0.016	195288074143501312
1	05 25 43.196	42 32 06.121	0.37509429	0.0178	0	0	0	1.570	0.019	-1.560	0.014	195060960568449408
1	05 25 58.785	43 17 24.329	0.29952959	0.0149	0	0	0	0.265	0.018	-2.644	0.013	195703449020710656
1	05 24 00.881	42 39 36.734	0.29198623	0.0127	0	0	0	1.051	0.017	-0.089	0.013	195259834734586240
1	05 24 37.109	42 21 05.939	0.31960299	0.0148	0	0	0	1.489	0.018	0.343	0.013	195057863896198784
1	05 25 55.722	42 48 27.770	0.35044523	0.0143	0	0	0	-0.580	0.017	-1.681	0.014	195630026555644416
1	05 24 14.312	43 03 27.770	0.21430947	0.0165	0	0	0	-0.228	0.020	-2.104	0.015	195335013841855872
1	05 31 03.324	42 37 54.094	0.24608570	0.0257	0	0	0	-0.197	0.027	-2.397	0.023	195391157656541952
1	05 29 06.200	43 22 13.383	0.39192932	0.0150	0	0	0	0.614	0.019	-2.986	0.015	195680329212379136
1	05 21 34.470	42 34 07.958	0.31853251	0.0167	0	0	0	0.322	0.021	-2.262	0.015	195286837192641792
1	05 23 07.368	42 30 13.583	0.28056705	0.0132	0	0	0	0.379	0.016	-1.862	0.013	195256978578240384
1	05 28 09.417	42 51 55.188	0.36551234	0.0159	0	0	0	-0.481	0.018	-1.699	0.014	195444617108925696
1	05 30 25.693	42 56 01.150	0.26847234	0.0138	0	0	0	-0.063	0.018	-2.290	0.013	195459018138122880
1	05 27 57.169	42 33 10.523	0.39554082	0.0171	0	0	0	-0.928	0.019	-1.531	0.013	195425272577075328
1	05 26 18.705	42 36 06.279	0.26847269	0.0195	0	0	0	0.309	0.022	-1.601	0.017	195436680012697984
1	05 29 00.305	42 50 00.925	0.38647529	0.0205	0	0	0	1.052	0.022	-2.116	0.015	195454620091761664
1	05 25 50.263	42 31 11.800	0.31034591	0.0189	0	0	0	0.444	0.021	-0.155	0.015	195435997113319040
1	05 30 25.572	43 34 50.172	0.22115238	0.0145	0	0	0	0.582	0.017	-1.002	0.013	195689331463723648
1	05 21 18.239	42 42 25.618	0.24022657	0.0154	0	0	0	0.779	0.020	-0.346	0.015	195298180202888448
1	05 27 23.927	42 28 00.099	0.24057796	0.0181	0	0	0	0.973	0.019	-1.026	0.015	195423107913563136
1	05 27 50.535	42 19 45.823	0.24387412	0.0162	0	0	0	0.163	0.020	-1.398	0.014	195370954129149312
1	05 27 20.712	42 57 25.449	0.32755144	0.0156	0	0	0	1.086	0.020	-1.913	0.014	195635902070816896
1	05 25 20.014	43 09 00.419	0.35258163	0.0149	0	0	0	0.674	0.017	-2.966	0.013	195324907779811456
1	05 30 24.108	43 34 27.794	0.28021524	0.0156	0	0	0	-0.338	0.019	0.522	0.015	195689292805462400
1	05 28 55.390	42 50 04.318	0.36815747	0.0162	0	0	0	0.219	0.018	-4.167	0.013	195455272926797440
1	05 23 51.201	42 33 53.123	0.24262853	0.0139	0	0	0	0.254	0.017	-1.375	0.013	195258078089863296
1	05 29 45.145	43 06 46.751	0.31066444	0.0163	0	0	0	-0.534	0.018	-1.508	0.013	195477022640677632
1	05 27 41.969	43 27 32.319	0.35952976	0.0158	0	0	0	0.661	0.017	-2.532	0.013	195708465539444992
1	05 25 12.996	42 05 05.860	0.29977719	0.0160	0	0	0	1.284	0.020	-1.805	0.015	194989526672965888
1	05 21 57.394	43 21 38.648	0.31970440	0.0170	0	0	0	1.480	0.018	1.664	0.014	207388238263025536
1	05 25 58.536	42 15 46.847	0.29646098	0.0167	0	0	0	2.705	0.023	-1.661	0.018	195414350478892800
1	05 29 33.000	43 39 32.984	0.35280335	0.0143	0	0	0	2.132	0.017	-2.386	0.014	195739874638351616
1	05 30 32.576	43 31 29.747	0.26163331	0.0236	0	0	0	0.209	0.026	-0.596	0.020	195677408634517632
1	05 29 17.431	43 08 48.083	0.21933575	0.0171	0	0	0	0.583	0.021	-0.241	0.015	195474991117649024
1	05 25 11.709	43 03 01.694	0.34917026	0.0158	0	0	0	-0.690	0.018	-1.714	0.014	195321201226956288
1	05 25 24.367	42 39 57.437	0.38545448	0.0266	0	0	0	-0.236	0.034	-1.234	0.023	195251073004238720
1	05 31 35.172	42 43 32.206	0.35623454	0.0163	0	0	0	-0.052	0.018	-1.880	0.013	195485887453710976
1	05 21 55.555	43 20 33.911	0.27893247	0.0168	0	0	0	0.827	0.019	-1.292	0.015	207340924903302400
1	05 29 23.043	42 46 55.224	0.21737594	0.0146	0	0	0	0.158	0.018	-0.982	0.014	195451871312686080
1	05 27 48.400	42 09 35.114	0.37553661	0.0171	0	0	0	0.014	0.022	-1.162	0.014	195354422795679360
1	05 25 29.843	42 43 18.405	0.25681574	0.0172	0	0	0	0.482	0.020	-1.420	0.014	195254440256311040
1	05 30 56.452	43 15 36.662	0.35586632	0.0170	0	0	0	0.616	0.018	-1.063	0.014	195479633980750592
1	05 23 33.973	42 42 30.887	0.38471339	0.0148	0	0	0	0.391	0.018	-1.520	0.014	195263713086942848
1	05 27 21.102	41 57 10.321	0.32949094	0.0145	0	0	0	0.553	0.017	-2.208	0.013	194595523552690816
1	05 30 57.218	43 05 57.649	0.39741806	0.0157	0	0	0	0.316	0.020	-1.358	0.014	195465237250705920
1	05 30 21.048	43 16 29.880	0.28218413	0.0220	0	0	0	0.861	0.019	-0.559	0.016	195483344832505472
1	05 28 39.378	43 11 20.815	0.29980807	0.0157	0	0	0	1.700	0.019	-1.008	0.014	195665309708071552
1	05 27 42.189	42 25 30.542	0.20332682	0.0174	0	0	0	0.608	0.018	-1.519	0.013	195376073730130176
1	05 23 06.978	43 31 07.222	0.36732514	0.0153	0	0	0	0.011	0.021	-0.481	0.016	207367210102978304
1	05 28 31.219	42 31 49.887	0.37694423	0.0157	0	0	0	0.331	0.018	-0.830	0.013	195377581260222336
