TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	05 30 21.048	43 16 29.880	0.28218413	0.0220	0	0	0	0.861	0.019	-0.559	0.016	195483344832505472
1	05 28 39.378	43 11 20.815	0.29980807	0.0157	0	0	0	1.700	0.019	-1.008	0.014	195665309708071552
1	05 22 00.466	43 21 09.049	0.29390808	0.0169	0	0	0	-0.070	0.019	-1.958	0.015	207341234140937856
1	05 24 58.808	42 57 33.842	0.28783858	0.0154	0	0	0	-0.884	0.017	-1.028	0.014	195319655038789120
1	05 30 22.892	43 33 14.268	0.28153896	0.0164	0	0	0	0.223	0.022	-2.219	0.016	195689086647032576
1	05 25 27.997	42 28 21.759	0.21406568	0.0146	0	0	0	0.431	0.018	-0.029	0.013	195060509596049408
1	05 31 39.343	42 38 13.785	0.23197312	0.0153	0	0	0	0.066	0.017	-1.283	0.013	194733885921608960
1	05 25 53.342	42 38 46.338	0.29351150	0.0189	0	0	0	0.854	0.021	-1.152	0.016	195625250552043264
1	05 22 01.862	42 43 07.740	0.31386579	0.0153	0	0	0	0.925	0.019	-0.572	0.015	195300447945544064
1	05 25 58.417	42 17 05.704	0.32057817	0.0162	0	0	0	1.340	0.022	-3.279	0.016	195415175112603776
1	05 25 56.699	43 04 39.481	0.29096187	0.0152	0	0	0	0.190	0.019	-1.398	0.014	195649229354246784
1	05 22 51.108	42 15 01.674	0.32093364	0.0155	0	0	0	1.114	0.020	-3.276	0.018	195215819910559360
1	05 26 01.347	42 58 03.753	0.32814076	0.0155	0	0	0	-0.210	0.018	-1.471	0.014	195644766883005312
1	05 29 05.237	43 24 29.972	0.21540035	0.0167	0	0	0	0.312	0.023	-1.016	0.015	195681360004521984
1	05 23 18.935	43 06 33.481	0.25868901	0.0166	0	0	0	2.587	0.020	-0.157	0.016	195334051770343808
1	05 23 20.978	42 14 00.457	0.29447259	0.0157	0	0	0	0.738	0.020	-2.624	0.015	195050549567934464
1	05 28 38.441	42 10 48.425	0.21906792	0.0217	0	0	0	0.771	0.022	-1.032	0.017	194604594523551360
1	05 27 51.463	42 59 34.110	0.22808873	0.0162	0	0	0	0.373	0.018	-0.265	0.015	195636584966753792
1	05 23 58.121	42 19 02.017	0.22329978	0.0144	0	0	0	-0.003	0.018	-0.385	0.013	195052679871654272
1	05 23 06.488	42 10 34.193	0.22393145	0.0149	0	0	0	0.422	0.019	-0.706	0.015	195026875708232576
1	05 25 56.207	42 02 38.769	0.32336614	0.0180	0	0	0	0.588	0.019	-2.570	0.015	194986984052299264
1	05 29 12.940	43 18 22.445	0.28562148	0.0166	0	0	0	0.042	0.020	0.794	0.016	195667405652104448
1	05 25 56.641	42 39 31.131	0.26515120	0.0190	0	0	0	1.104	0.021	-0.729	0.015	195625250552041600
1	05 29 49.858	43 31 13.150	0.31424854	0.0321	0	0	0	1.560	0.038	-2.045	0.029	195688335031352960
1	05 29 58.143	43 09 02.208	0.32737222	0.0240	0	0	0	0.388	0.023	-2.171	0.018	195480145078988928
1	05 30 17.099	42 55 56.215	0.22667688	0.0158	0	0	0	0.387	0.020	-0.734	0.014	195459670973161984
1	05 30 05.936	42 46 28.524	0.31289240	0.0150	0	0	0	1.160	0.018	-2.070	0.013	195410089870781568
1	05 21 28.403	42 53 45.569	0.33176643	0.0165	0	0	0	0.421	0.019	-0.218	0.015	207315597480220160
1	05 22 51.866	43 21 36.045	0.28464449	0.0182	0	0	0	0.679	0.019	-1.638	0.016	207360956630688640
1	05 26 22.019	42 14 06.553	0.29916666	0.0185	0	0	0	-0.875	0.022	-2.779	0.017	195367342060173184
1	05 24 45.301	43 16 20.080	0.26621056	0.0163	0	0	0	-0.320	0.021	-1.291	0.016	195341851429673472
1	05 31 20.791	43 12 05.050	0.25311964	0.0193	0	0	0	1.055	0.020	-0.571	0.016	195560379366370432
1	05 23 23.517	43 23 57.998	0.28792340	0.0160	0	0	0	0.363	0.019	-1.734	0.015	207362124861727232
1	05 24 31.477	43 32 05.161	0.27073765	0.0174	0	0	0	0.589	0.020	-0.154	0.017	207370126381577600
1	05 26 06.176	43 40 37.790	0.31895179	0.0158	0	0	0	1.226	0.020	-2.254	0.014	207735752656564352
1	05 24 26.751	43 50 37.595	0.23831486	0.0167	0	0	0	0.539	0.021	-1.486	0.016	207424487786628480
1	05 27 00.139	43 08 09.031	0.26306859	0.0159	0	0	0	1.854	0.021	-4.081	0.015	195653081939564928
1	05 22 51.820	42 28 35.952	0.25431635	0.0160	0	0	0	-0.300	0.019	-1.434	0.016	195233549534996480
1	05 25 35.287	42 42 22.587	0.32606761	0.0177	0	0	0	1.708	0.021	-2.637	0.015	195254199738142208
1	05 28 49.277	43 22 17.714	0.28934725	0.0164	0	0	0	-1.013	0.022	-2.781	0.015	195681256925328512
1	05 24 20.724	42 46 43.683	0.32058414	0.0161	0	0	0	0.602	0.022	-1.352	0.015	195269352381991168
1	05 26 26.728	42 16 17.947	0.24594451	0.0164	0	0	0	0.812	0.022	-2.360	0.017	195367655594407808
1	05 25 11.777	42 48 56.872	0.26859279	0.0172	0	0	0	0.973	0.019	-0.542	0.015	195267943632599552
1	05 23 18.542	43 23 38.838	0.31518447	0.0172	0	0	0	1.671	0.020	-3.221	0.016	207361811325203456
1	05 25 00.087	42 13 40.582	0.32086202	0.0167	0	0	0	-0.071	0.019	-0.617	0.014	195041856554035456
1	05 31 07.907	43 01 13.353	0.32291703	0.0174	0	0	0	0.185	0.021	-1.679	0.017	195460972346889088
1	05 28 50.470	42 32 26.006	0.24624965	0.0163	0	0	0	0.450	0.019	-1.589	0.015	195397990944812032
1	05 24 30.532	43 47 13.775	0.23748893	0.0172	0	0	0	0.391	0.022	-1.739	0.017	207423319555535104
1	05 28 58.887	43 48 28.782	0.28454206	0.0163	0	0	0	-0.167	0.018	-1.678	0.014	195751346492911360
1	05 24 50.544	42 29 42.011	0.30198383	0.0144	0	0	0	0.854	0.018	-0.892	0.014	195247533948978432
1	05 30 23.878	42 48 20.556	0.31174658	0.0156	0	0	0	0.007	0.017	-1.322	0.014	195410261669435392
1	05 25 49.911	41 56 50.882	0.26262872	0.0168	0	0	0	0.908	0.020	-2.007	0.016	194973927351763456
1	05 31 37.293	42 37 46.446	0.25080455	0.0151	0	0	0	0.721	0.017	-0.768	0.013	194733890218484096
1	05 29 02.335	43 26 33.476	0.22421026	0.0182	0	0	0	0.913	0.024	-2.088	0.016	195681669242514688
1	05 24 07.310	43 20 06.929	0.24213880	0.0169	0	0	0	0.468	0.020	-0.392	0.015	207351847000780416
1	05 23 43.922	43 12 40.022	0.24599724	0.0157	0	0	0	0.346	0.018	-1.357	0.014	207344463956743680
1	05 27 38.279	43 14 14.091	0.27131461	0.0168	0	0	0	0.543	0.020	-1.150	0.014	195658231602635776
1	05 27 46.298	42 15 51.601	0.21655403	0.0177	0	0	0	0.930	0.022	-0.671	0.015	195358825141544064
1	05 29 03.024	43 47 43.674	0.29868824	0.0234	0	0	0	1.328	0.025	-2.060	0.020	195751110275225728
1	05 31 49.174	42 52 41.135	0.32657745	0.0188	0	0	0	1.774	0.021	-1.010	0.015	195490903975475584
1	05 31 20.655	42 42 51.492	0.27614178	0.0191	0	0	0	0.595	0.020	-0.087	0.015	195394932929115520
1	05 31 23.147	42 55 05.174	0.24128741	0.0178	0	0	0	1.580	0.019	-1.709	0.014	195503445279989376
1	05 21 29.820	43 09 12.152	0.24409817	0.0176	0	0	0	0.272	0.024	-0.579	0.015	207334671431384192
1	05 23 54.648	42 19 14.432	0.30095051	0.0157	0	0	0	-0.156	0.020	-1.565	0.014	195052641215967488
1	05 23 43.424	42 17 28.942	0.26905631	0.0155	0	0	0	0.914	0.020	-0.743	0.014	195051133683448960
1	05 27 11.199	42 44 32.255	0.25409125	0.0206	0	0	0	0.362	0.022	-0.301	0.017	195444896285429504
